2020-06-30 16:25:44.642 [main] WARN  c.b.mybatisplus.core.injector.AbstractMethod - [com.weilai9.dao.mapper.ParadiseDao.deleteById] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.DeleteById]
2020-06-30 16:25:44.646 [main] WARN  c.b.mybatisplus.core.injector.AbstractMethod - [com.weilai9.dao.mapper.ParadiseDao.update] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.Update]
2020-06-30 16:25:44.679 [main] WARN  c.b.mybatisplus.core.injector.AbstractMethod - [com.weilai9.dao.mapper.ParadiseRefundApplyDao.insert] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.Insert]
2020-06-30 16:25:44.683 [main] WARN  c.b.mybatisplus.core.injector.AbstractMethod - [com.weilai9.dao.mapper.ParadiseRefundApplyDao.deleteById] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.DeleteById]
2020-06-30 16:25:44.687 [main] WARN  c.b.mybatisplus.core.injector.AbstractMethod - [com.weilai9.dao.mapper.ParadiseRefundApplyDao.update] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.Update]
2020-06-30 16:25:44.717 [main] WARN  c.b.mybatisplus.core.injector.AbstractMethod - [com.weilai9.dao.mapper.ParadiseSignupDao.insert] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.Insert]
2020-06-30 16:25:44.722 [main] WARN  c.b.mybatisplus.core.injector.AbstractMethod - [com.weilai9.dao.mapper.ParadiseSignupDao.deleteById] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.DeleteById]
2020-06-30 16:25:44.726 [main] WARN  c.b.mybatisplus.core.injector.AbstractMethod - [com.weilai9.dao.mapper.ParadiseSignupDao.update] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.Update]
2020-06-30 16:25:44.913 [main] WARN  c.b.mybatisplus.core.metadata.TableInfoHelper - Warn: Could not find @TableId in Class: com.weilai9.dao.entity.Qzmonthlog.
2020-06-30 16:25:45.026 [main] WARN  c.b.mybatisplus.core.injector.AbstractMethod - [com.weilai9.dao.mapper.ShippingAddressDao.insert] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.Insert]
2020-06-30 16:25:45.030 [main] WARN  c.b.mybatisplus.core.injector.AbstractMethod - [com.weilai9.dao.mapper.ShippingAddressDao.deleteById] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.DeleteById]
2020-06-30 16:25:45.033 [main] WARN  c.b.mybatisplus.core.injector.AbstractMethod - [com.weilai9.dao.mapper.ShippingAddressDao.update] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.Update]
2020-06-30 17:16:14.002 [main] WARN  c.b.mybatisplus.core.metadata.TableInfoHelper - Warn: Could not find @TableId in Class: com.weilai9.dao.entity.ActivityCollect.
2020-06-30 17:16:14.314 [main] WARN  c.b.mybatisplus.core.injector.AbstractMethod - [com.weilai9.dao.mapper.BannerDao.insert] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.Insert]
2020-06-30 17:16:14.319 [main] WARN  c.b.mybatisplus.core.injector.AbstractMethod - [com.weilai9.dao.mapper.BannerDao.deleteById] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.DeleteById]
2020-06-30 17:16:14.322 [main] WARN  c.b.mybatisplus.core.injector.AbstractMethod - [com.weilai9.dao.mapper.BannerDao.update] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.Update]
2020-06-30 17:16:14.496 [main] WARN  c.b.mybatisplus.core.metadata.TableInfoHelper - Warn: Could not find @TableId in Class: com.weilai9.dao.entity.Customerrelation.
2020-06-30 17:16:14.924 [main] WARN  c.b.mybatisplus.core.injector.AbstractMethod - [com.weilai9.dao.mapper.ParadiseDao.insert] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.Insert]
2020-06-30 17:16:14.929 [main] WARN  c.b.mybatisplus.core.injector.AbstractMethod - [com.weilai9.dao.mapper.ParadiseDao.deleteById] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.DeleteById]
2020-06-30 17:16:14.934 [main] WARN  c.b.mybatisplus.core.injector.AbstractMethod - [com.weilai9.dao.mapper.ParadiseDao.update] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.Update]
2020-06-30 17:16:14.980 [main] WARN  c.b.mybatisplus.core.injector.AbstractMethod - [com.weilai9.dao.mapper.ParadiseRefundApplyDao.insert] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.Insert]
2020-06-30 17:16:14.989 [main] WARN  c.b.mybatisplus.core.injector.AbstractMethod - [com.weilai9.dao.mapper.ParadiseRefundApplyDao.deleteById] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.DeleteById]
2020-06-30 17:16:14.995 [main] WARN  c.b.mybatisplus.core.injector.AbstractMethod - [com.weilai9.dao.mapper.ParadiseRefundApplyDao.update] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.Update]
2020-06-30 17:16:15.051 [main] WARN  c.b.mybatisplus.core.injector.AbstractMethod - [com.weilai9.dao.mapper.ParadiseSignupDao.insert] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.Insert]
2020-06-30 17:16:15.060 [main] WARN  c.b.mybatisplus.core.injector.AbstractMethod - [com.weilai9.dao.mapper.ParadiseSignupDao.deleteById] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.DeleteById]
